title,brand,description,categories,manufacturer,department,top_review,features
ICTIVE Long Sleeve Workout Shirts for Women Loose fit Workout Tops for Women Running Shirts Women with Thumb Hole,Fihapyli,"Long Sleeve Cross Shirt Long Sleeve Mesh Back Tops Workout Tank Tops Mesh Tank Tops Backless Cross Tank Tops Backless Muscle Tanks Loose Backless shirt Long Sleeve Crop Tops Backless Twist Tops Backless Keyhole Tops Racerback Sleeveless Shirt Backless Workout Tops     We are young entrepreneurs. We love life and we're enthusiastic about working out. From original designs, fabric selections, and final production, our products are all made in-house. This is how we are able to offer you the highest quality products at a great value!   Tips:Take a little vinegar and salt can remove the smell of the dye, and can maintain the original.","[""Clothing, Shoes & Jewelry"",""Women"",""Clothing"",""Active"",""Active Shirts & Tees"",""T-Shirts""]",,womens,"Great shade of green! Fresh looking, breathable fabric, warmer than expected. First time with thumb holes- I love them! The mesh cutout on sleeve adds just enough detail to make it interesting. Fabric very soft and comfortable!  Not sure if it will be great for working out because I get very hot, but it is perfect for casual wear and the length is great for pairing with leggings. More ""athlesieure"" on me than ""workout"" gear. Glad I sized up because it runs slim; glad I got it in black as well. A no- brainer, and I am picky about synthetic fabrics so I rarely buy clothing without being able to touch it first. Modal turns out to be much more comfortable than even the smallest blend of polyester, which always makes me sweat and seems to be in almost everything I find online these days. I cannot tolerate polyester or acrylic, and struggle hard to find tops free of both, so this was a great find for me!",null
CleanEspresso 2 Gram Espresso Machine Cleaning Tablets Model BR-040 - For Breville Espresso Machines,CleanEspresso,"About this item 2 GRAM TABLETS - Don't be fooled by 1gram tabs that cannot hold up to the cleaning cycle pressure. BETTER TASTING ESPRESSO by Removing Oily BuildUp Inside Your Machine. Get The Ultimate Cleaning Experience With Precision Cleaning DESIGNED For Use With All Models of Breville Espresso Machines AUTOMATICALLY Cleans Inner Machine Parts 100% NO QUESTIONS ASKED, MONEY BACK GUARANTEE. Go ahead and give it a try. CLICK ""ADD TO CART"" NOW!","[""Kitchen & Dining"",""Small Appliance Parts & Accessories"",""Coffee & Espresso Machine Parts & Accessories"",""Coffee & Espresso Machine Cleaning Products""]",Exceptional Life Products,,Still need to use vinegar to de-scale,"[""2 GRAM TABLETS - Don't be fooled by 1gram tabs that cannot hold up to the cleaning cycle pressure."",""BETTER TASTING ESPRESSO by Removing Oily BuildUp Inside Your Machine. Get The Ultimate Cleaning Experience With Precision Cleaning"",""DESIGNED For Use With All Models of Breville Espresso Machines"",""AUTOMATICALLY Cleans Inner Machine Parts"",""100% NO QUESTIONS ASKED, MONEY BACK GUARANTEE. Go ahead and give it a try. CLICK \""ADD TO CART\"" NOW!""]"
Minnetonka Women's Back-Zipper Bootie,Minnetonka,"From the brand /* * Used when device = desktop * Configured in: configuration/brazil-config/global/brand-story.cfg */ /* Because the carousel is implemented as an ol list, any lists in the card text will have a secondary list style (letters). This will give an incorrect appearance to viewers, so we set all lists to the primary list style (numbers). */ .aplus-brand-story-card ol li { list-style: decimal; } /* Top level containers */ .aplus-module .apm-brand-story-hero { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; width: 1464px; height: 625px; background-color: #fff; } .aplus-module .apm-brand-story-card { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; width: 362px; height: 453px; background-color: #fff; } .apm-brand-story-hero, .apm-brand-story-card { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; position: relative; width: 100%; height: 100%; float: none; } .aplus-module.brand-story-card-1-four-asin .apm-brand-story-card { /* Only 12px to account for image cell border */ padding: 12px; } /* Full background image (Hero 1 & Card 2) */ .aplus-module .apm-brand-story-background-image { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; overflow: hidden; position: absolute; width: 100%; height: 100%; } /* Card 1 small images */ .aplus-module .apm-brand-story-image-row { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; height: 185px; padding: 0px; margin: auto; display: flex; } .aplus-module .apm-brand-story-image-row .apm-brand-story-image-cell { /* Use content-box to ensure image size matches editor schema */ -moz-box-sizing: content-box; -webkit-box-sizing: content-box; box-sizing: content-box; padding: 0px; margin: 0px; width: 166px; border: 1px solid #fff; } .aplus-module .apm-brand-story-image-row .apm-brand-story-image-cell .apm-brand-story-image-link { display: block; width: 100%; height: 100%; } .aplus-module .apm-brand-story-image-row .apm-brand-story-image-cell .apm-brand-story-image-link .apm-brand-story-image-img { display: block; width: 100%; height: 100%; object-fit: cover; } /* Card 3 logo image */ .aplus-module .apm-brand-story-logo-image { -moz-box-sizing: content-box; -webkit-box-sizing: content-box; box-sizing: content-box; height: 145px; margin: 0px 4px; padding: 20px; padding-bottom: 0px; } /* Text overlays */ .aplus-module .apm-brand-story-text-bottom { -moz-box-sizing: border-box; -webkit-box-sizing: border-box; box-sizing: border-box; position: absolute; bottom: 13px; left: 13px; } .aplus-module .apm-brand-story-hero .apm-brand-story-text-bottom { background-color: rgba(0,0,0,0.6); color: #fff; padding: 13px 65px 13px 13px; /* accounts for overlap of first card */ width: 437px; } .aplus-module.brand-story-card-2-media-asset .apm-brand-story-text-bottom { background-color: rgba(255,255,255,0.6); color: #000; padding: 13px; width: 336px; } .aplus-module.brand-story-card-1-four-asin .apm-brand-story-text { margin-top: 8px; } .aplus-module.brand-story-card-1-four-asin .apm-brand-story-text.apm-brand-story-text-single { margin-top: 20px; } .aplus-module.brand-story-card-1-four-asin .apm-brand-story-text h3 { white-space: nowrap; overflow: hidden; text-overflow: ellipsis; } .aplus-module .apm-brand-story-slogan-text { -moz-box-sizing: content-box; -webkit-box-sizing: content-box; box-sizing: content-box; margin: 0px 4px; padding: 20px; } .aplus-module .apm-brand-story-faq { -moz-box-sizing: content-box; -webkit-box-sizing: content-box; box-sizing: content-box; padding-top: 10px; } .aplus-module .apm-brand-story-faq-block { margin: 0px 10px; padding: 10px; } .aplus-v2 .apm-brand-story-carousel-container { position: relative; } .aplus-v2 .apm-brand-story-carousel-hero-container, .aplus-v2 .apm-brand-story-carousel-hero-container > div { position: absolute; width: 100%; } /* Ensuring the carousel takes only the space it needs. The sizes need to be set again on the absolutely positioned elements so they can take up space. */ .aplus-v2 .apm-brand-story-carousel-container, .aplus-v2 .apm-brand-story-carousel-hero-container { height: 625px; width: calc(100% + 15px); max-width: 1464px; margin-left: auto; margin-right: auto; } /* This centers the carousel vertically on top of the hero image container and after the logo area (125px). Margin-top = (heroHeight - cardHeight - logoAreaHeight) / 2 + logoAreaHeight */ .aplus-v2 .apm-brand-story-carousel .a-carousel-row-inner{ margin-top: 149px; } /* Cards need to have a width set, otherwise they default to 50px or so. All cards must have the same width. The carousel will resize itself so all cards take the width of the largest card. The left margin is for leaving a space between each card. */ .aplus-v2 .apm-brand-story-carousel .a-carousel-card { width: 362px; margin-left: 30px !important; } /* styling the navigation buttons so they are taller, flush with the sides, and have a clean white background */ .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-left, .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-right { padding: 0px; } .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-left .a-button-image, .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-right .a-button-image { border: none; margin: 0px; } .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-left .a-button-image .a-button-inner, .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-right .a-button-image .a-button-inner { background: #fff; padding: 20px 6px; } .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-left .a-button-image .a-button-inner { border-radius: 0px 4px 4px 0px; } .aplus-v2 .apm-brand-story-carousel .a-carousel-col.a-carousel-right .a-button-image .a-button-inner { border-radius: 4px 0px 0px 4px; } Previous page View Store Visit the Store View Store Visit the Store Next page","[""Clothing, Shoes & Jewelry"",""Women"",""Shoes"",""Boots"",""Ankle & Bootie""]",‏  ‎ Minnetonka,‏  ‎ womens,"I'm actually so happy with these little elf booties. I personally think they run big. While in theory I'm a true 7 (like 20 yrs ago), in actuality I can't remember the last time I was able to squeeze my feet comfortably in anything but an 8 (except for Birkenstocks) after two babies back to back followed by a year of high dose steroids. I ordered these in a 7 1/2 because I sized down a whole size to my ""true size"" before in Uggs at review suggestion and they never really stretched out enough for true comfort. This was likely a mistake. They fit in the width though by no means tightly but are a bit long and after three hours of wear had considerably loosened all over. I really should of purchased a 7 at least so they would be fitted like a sock as they are meant to because I'm sure these are going to be way too big way too quickly but when they are I'll use them for around the house and get a new pair for outdoors.That being said, I'm not sending them back because I don't want to spend another day of my life without these shoes. I purchased the black and its a true, deep matte black and the fringe is neutral and lays perfectly flat. I also got them in the suede sole and I'm glad I did, I used to have a pair of suede sole mocs when I lived in Seattle and even walking at least ten miles a day mostly on concrete in that weather which isn't optimal conditions for these types of shoes (I didn't drive during those years) the mocs lasted three years before finally developing a hole. In more normal climates and usage these could easily last ten yrs (live in Texas and drive now lol). Don't believe people who say these can't be worn out of doors, they simply have to be seasoned properly by getting them wet and wearing on dirt and grass till the get slick and hard.The seude on these is perfect. No its not the nearly nubuck softness of some higher end seude shoes I have but its not the rough cheapie suede either and in reality you wouldn't want a shoe like this to be any softer. Don't get me wrong, they ARE soft but they are thicker and sturdier than some suede which is just right. One thing I didn't realize is that these booties have like some kind of memory foam insert which my old mocs didn't and this makes them even more comfy. Like wearing suede socks with some cushioning, I think if I added a little arch support stick on insert it would be like going bare foot with arch support and foot protection. The zipper seems to work well but I could see where it could slide down. I would say these may work better on people with a more delicate foot and smaller ankle because I have bird bones and it looks like if I had a normal sized to large sized ankle then they might be fitted and look odd. They have enough room around my ankle and fit around my foot so well that they look ultra flattering. Also thanks to the simplicity and matte black of the shoes they also look more hip and less boho. So far I've only worn these with a pair of slim fit, vintage boyfriend ankle jeans and they work perfectly. Adorable perfection. I almost exclusively wear ankle length jeans due to my proportions and that's actually what I wanted a flat ankle boot for and these look super cool. However I think these will also look really good with summer dresses and even leggings and tunics this winter.I honestly didn't think I would like this, both fit and style but haven't been able to find an ankle boot that worked for me so I decided to give these a quick try. I'm so in love. They're surprisingly comfy tho I will add an insert. I do have pretty nasty arthritis in my feet so I'm a bit particular about my shoes but these make me feel like I can leap about like an elf. And my feet kinda look Elvin too. I can't think of enough good things to say about these booties. No, they may not be for everyone especially if you have a wider foot or ankle and if you prefer true orthotics but otherwise these are amazing. I've owned hundreds of shoes, many costing hundreds of dollars and these are surprisingly enough the absolute favorite shoes ever. They have everything I could ever want in a shoe. Even my mom, who rolled her eyes when I said I ordered this, flipped out when I put them on and even more when she tried them on. She hates completely flat shoes and has truly disformed arthritic feet and she ordered a pair an hr after I received mine. Plus she hates these kind of styles but thought these looked surprisingly hip and sophisticated for a moc bootie.So...another convert. If you think these may work for you please give these a try but read up on seasoning the sole and they'll last a good while depending on your usage and weather conditions. Now I'm ordering some in other colors and I really, really wish minnetonka would bring these back in pebble leather and not just as the occasional overpriced promo product because seriously, how much more versatile!!!Edit: while these are still my favorite shoes ever the tab on the back crumbled the second time I wore them making it difficult for my arthritic fingers to close the back. I am going to contact the sender and hope they are able to send me a replacement tab but its disappointing quality for that to happen the second time I out them on and makes me sure the other side will do the same. I will still purchase more because I love the style and comfort but they need to put better quality pulls on the back.","[""100% Cow Suede Leather"",""Imported"",""Rubber sole"",""Soft, supple suede"",""Padded cushion insole"",""Thin rubber sole""]"
"DJDAJIA 24"" x10Pack Bungee Cords with Hooks, 9mm Heavy Duty Bungee Cords,Multi-Purpose Elastic Bungee Straps for Luggage,Various Cargoes, Camping-Weatherproof & UV,Blue",Generic,"Introducing our Heavy Duty Blue Bungee Cords - the ultimate solution for all your outdoor needs! Measuring 24 inches in length and crafted with a sturdy 9mm thickness, these weatherproof and UV-resistant bungee cords are designed to withstand the toughest conditions.With their sleek blue color, these bungee cords not only provide a secure and reliable hold but also add a touch of style to any outdoor setup. The heavy-duty hooks ensure a firm grip, making them perfect for securing camping gear, tarps, luggage, and more.Whether you're an avid adventurer, a DIY enthusiast, or simply need a reliable tool for everyday use, our blue bungee cords are your go-to choice. Versatile and durable, these bungee cords are designed to handle any task effortlessly.So, why settle for ordinary cords when you can have the best? Upgrade to our Heavy Duty Blue Bungee Cords and experience the reliability and strength you deserve. Don't let anything hold you back - choose the best bungee cords on the market today! WARNING: Stretch cord carefully. Rebounding hooks cause injuries. Place hooks with care. Keep face and body out of rebound path. DO NOT overstretch. DO NOT use when strap has visible signs of wear or damage.","[""Tools & Home Improvement"",""Hardware"",""Tarps & Tie-Downs"",""Bungee Cords""]",DJDAJIA,Tools & Home Improvement,Strong and so versatile. I use in kitchen and to safely secure heavy pots and lids.  I create extra garage storage by affixing items on perimeter of shelving unit.  Keep some in the car too. Does the trick.,"[""HEAVY DUTY BUNGEE CORDS High quality industrial bungee cord can be stretched up to 2.0 X its length with a maximum load of up to 35kg/77lb, making it an ideal storage strap for a wide range of items such as bundling, securing, connecting and reinforcing."",""EXTREME WEATHER RELIABILILITY The anti-UV polyester bungee cords are ideal for extended outdoor usage, with ethylene-based coated hooks to prevent car scratches, and their robust properties guarantee all-weather reliability in various weather conditions and outdoor activities."",""EYE-CATCHING BLUE COLOR Bungee cords with hooks features a vibrant blue color, making it easy to identify and locate, which is especially advantageous for outdoor activities and emergency situations."",""ADVENTURE TOOLS 10-pack of rubber bungee cords with hooks is essential for outdoor survival and camping. They are the perfect choice when adventure beckons, suiting cyclists, hikers, DIYers, travelers, campers, and all outdoor enthusiasts."",""MULTIPURPOSE & 3-YEAR WARRANTY Bungie cords are reusable and multi-functional. Great for bikers, hikers, travelers, camping and all outdoor activities, if you have any questions about the bungees, please contact us, customer service team will reply within 24 hours.""]"
Pirelli Night Dragon Cruiser Motorcycle Tires Set (100/90-19 M/CTL Front),Pirelli,"The Pirelli Night Dragon has everything a custom cruising tire needs with the same great sporty feeling Pirelli tires are known so well for.-The Night Dragon was designed for the riders that want to get as much performance out of their equipment as they possibly can.-Whether it's fast, straight-line acceleration or cornering, the Night Dragon handles it all.-With EPT technology, the Night Dragon optimizes contact area between tire and road to improve stability and acceleration.-It also showcases a great balance between reliability and tire life.-These tires were designed to handle large V-Twins that produce high power and torque.-It's time to get rid of those old tires and start riding a Night Dragon!","[""Motorcycle & Powersports"",""Parts"",""Wheels & Tires"",""Tires & Accessories"",""Tires & Inner Tubes"",""Motorcycle & Scooter"",""Motorcycle"",""Street"",""Sport""]",Pirelli,,"Good tread pattern doesn’t slip on the tar snakes, waiting to see how many miles I get","[""EPT technology, Optimized contact area between tire and road to increase stability"",""Balance between reliability and tire life"",""Built to provide balanced reliability and tire longevity"",""Whether it's fast, straight-line acceleration or cornering, the Night Dragon handles it all"",""Includes neck Gaiter""]"
Roof and Gutter Deicing Cable - 80' Black Electric Heating Cord with 3 Prong Plug & 120 Volt Operation - 14081,Wrap-On,"This pre-assembled cable has been designed for the sole purpose of preventing the formation of ice dams on pitched roofs with non-combustible tab shingles and in metal or plastic gutters and downspouts. It provides drainage channels so that as natural thawing occurs, water has a path to flow off the roof and through the gutters and downspouts. This cable is not for use on a flat roof nor is it intended to clear the roof of snow and ice. The installation of this product is simple and it can be used with either metal or plastic gutters. Read and follow all instructions and pay particular attention to the following points: Install the cable when the outside temperature is above 50˚F because at lower temperatures shingle material may be brittle; Clear all leaves, pine needles and debris from the roof, gutters and downspouts before operating the cable. Do not plug the cable in unless it has been completely uncoiled or it will be damaged. Each package contains one ready-to-install cable, shingle clips, cable spacers and complete installation instructions. You will also need a tape measure, marker, gloves, ladder and a weatherproof GFCI outlet with control switch.","[""Tools & Home Improvement"",""Plumbing"",""Pipes, Pipe Fittings & Accessories"",""Pipe Heat Cables""]",PIRIT Heated Products,Tools & Home Improvement,Good Value,"[""Roof and Gutter Cables operate at 120 volt, 5 watts per foot."",""Can be applied on pitched roofs with non-combustible tab shingles, in gutters and in downspouts."",""Each package contains one ready-to-install cable, shingle clips, cable spacers and complete installation instructions."",""Requires weatherproof GFCI outlet with control switch."",""Made in USA""]"
"JETech Case for iPad Pro 10.5-Inch and iPad Air 3 (10.5-Inch 2019, 3rd Generation), Smart Cover Auto Wake/Sleep Cover (Space Gray)",JETech,"About this item Designed for iPad Air 3rd generation 10.5 (2019) and iPad Pro 10.5 (2017). NOT compatible with any other iPad models. Fit iPad Models: A1701/A1709/A1852/A2152/A2123/A2153/A2154. Please check back bottom of your iPad to find the model number Made with PC and PU. Slim/light design. Synthetic exterior and smooth interior provide comprehensive protection for your iPad Magnetic smart cover supports automatic sleep/wake function.The tri-fold front cover can support iPad in two standing position for viewing and typing Easy access to all the controls and features; Perfect cutouts for speakers, camera and other ports Package includes: iPad Air 3 (2019) / iPad Pro 10.5 (2017) case, customer service card","[""Electronics"",""Computers & Accessories"",""Tablet Accessories"",""Bags, Cases & Sleeves"",""Cases""]",JETech,,"I recently purchased the Case for iPad Pro 10.5-Inch, and I must say it has proven to be a reliable companion for my tablet. This case strikes a great balance between style and functionality, providing adequate protection while maintaining a sleek and professional appearance.One of the standout features of this case is its sturdy construction. The materials used feel durable and capable of withstanding everyday wear and tear. The case snugly fits my iPad Pro, ensuring a secure and precise fit. I appreciate the reinforced corners, which provide added shock absorption and protect the device against accidental drops.The design of the case is minimalist and elegant. It adds a touch of sophistication to my iPad Pro without adding unnecessary bulk. The slim profile of the case allows for easy handling and effortless transportation. It also doesn't interfere with any of the device's functionalities, including the buttons, ports, and cameras. All the necessary cutouts are well-aligned, providing convenient access without any obstructions.The case offers versatile viewing angles, thanks to its built-in stand feature. This allows me to comfortably watch videos, browse the internet, or work on my iPad Pro without straining my neck. The stand is sturdy and holds the tablet securely in both landscape and portrait orientations.However, one aspect that could be improved is the closure mechanism. The case utilizes a magnetic closure, which isn't as secure as a strap or a snap closure. While it generally keeps the case closed, it can sometimes come undone if not properly aligned or with rough handling. A more secure closure system would provide additional peace of mind when carrying the iPad Pro in a bag or during travel.Overall, the Case for iPad Pro 10.5-Inch offers reliable protection and a stylish design. Its sturdy construction ensures the safety of my tablet, while the slim profile adds a touch of elegance. The built-in stand is a useful feature, providing versatile viewing angles. Though the magnetic closure could be more secure, it doesn't detract significantly from the overall functionality of the case. If you're looking for a practical and visually appealing case for your iPad Pro, this is a great option to consider.","[""Designed for iPad Air 3rd generation 10.5 (2019) and iPad Pro 10.5 (2017). NOT compatible with any other iPad models. Fit iPad Models A1701/A1709/A1852/A2152/A2123/A2153/A2154. Please check back bottom of your iPad to find the model number"",""Made with PC and PU. Slim/light design. Synthetic exterior and smooth interior provide comprehensive protection for your iPad"",""Magnetic smart cover supports automatic sleep/wake function.The tri-fold front cover can support iPad in two standing position for viewing and typing"",""Easy access to all the controls and features; Perfect cutouts for speakers, camera and other ports"",""Package includes iPad Air 3 (2019) / iPad Pro 10.5 (2017) case, customer service card""]"
Seresto Large Dog Vet-Recommended Flea & Tick Treatment & Prevention Collar for Dogs Over 18 lbs. | 2-Pack,Seresto,"Give your dog long-lasting protection against fleas and ticks with a Seresto Large Dog flea and tick collar. Unlike other flea and tick protection, Seresto Large Dog flea and tick collars kill and repel fleas and ticks for eight continuous months. Seresto Large Dog flea and tick collars are recommended by veterinarians, stocked by 8,000 vet clinics* and have been trusted* by pet owners for nearly a decade.Seresto Large Dog collars make your dog’s comfort a priority by killing fleas and ticks on contact, so pests don’t have to bite your dog to die. Existing fleas die within 24 hours after initial application of the collar. After 24 hours, any new fleas on the dog are killed within 2 hours with protection against further flea infestation lasting 8 months. The prevention of infestations with new ticks starts at 48 hours after application of the collar. 48 hours after application, any new ticks are repelled and/or killed in as quickly as 6 hours. Seresto Large Dog collars protect against common pests like deer ticks, American dog ticks, brown dog ticks, and Lone Star ticks; they’re also effective against chewing lice. Fleas and ticks not only cause discomfort; fleas can transmit bartonellosis or tapeworm. Ticks can transmit Borrelia burgdorferi which causes Lyme Disease. Check the product label for information on potential side effects.Seresto Large Dog flea and tick collars are for dogs at least 7 weeks old, and there’s no prescription needed. They’re odorless, non-greasy and water resistant to swimming, exposure to rain or sunlight, bathing, and shampoo treatment.**Seresto is a trademark of Elanco or its affiliates.*Elanco Animal Health, data on file **Seresto Large Dog is water resistant and remains effective following a shampoo treatment, swimming or after exposure to rain or sunlight. Under normal conditions, effectiveness lasts for 8 months. In order to maintain an eight-month duration, dogs must not be bathed more than once per month. For dogs that swim once a month or more, the control duration is reduced to 5 months for flea control and reduced to 7 months for tick control.Seresto is rigorously regulated worldwide with your pet in mind. Fake Seresto collars are ineffective and can put your furry friend at risk for expensive flea and tick infestations and painful flea and tick bites which can result in transmission of certain diseases. One of the best ways to make sure your Seresto collar is authentic is by making sure it’s “Sold By” one of our authorized sellers. Check out the trusted list before shopping: Amazon.com, Petco, Entirelypets, Petstoreusa, Pets Go Here - Pet Store, Heartland Veterinary Supply.","[""Pet Supplies"",""Dogs"",""Flea & Tick Control"",""Flea & Tick Collars""]",Elanco US Inc,Pet Supplies,"We've been using the Seresto Large Dog Flea & Tick Treatment & Prevention Collar for our 80 lb chocolate lab, who loves exploring the countryside around our home. This collar has been a fantastic investment!Since putting the collar on, we've noticed a significant decrease in the number of fleas and ticks on our dog. The protection it provides lasts for a full 8 months, which is incredibly convenient and cost-effective. No more monthly treatments to remember!The collar is easy to put on and adjust for a comfortable fit. Our lab doesn't seem to mind wearing it at all. Living in a rural area, we were concerned about the prevalence of ticks, but this collar has kept our dog safe and tick-free, allowing us to enjoy our outdoor adventures without worry.Overall, the Seresto collar has given us peace of mind and ensured our lab stays healthy and happy. Highly recommend it to anyone with an active dog, especially those living in areas with high flea and tick populations!","[""Vet-recommended, premium flea & tick protection for dogs & puppies without the price tag"",""Long-lasting flea and tick collar kills & repels fleas for 8 continuous months"",""Seresto is the #1 veterinarian recommended flea & tick collar*"",""Starts working within 24 hours to kill & repel fleas by contact so pests don’t have to bite your dog to die"",""Hassle-free, non-greasy, easy-to-use flea & tick protection""]"
"SAFAVIEH Lyndhurst Collection Runner Rug - 2'3"" x 16', Red & Ivory, Traditional Oriental Design, Non-Shedding & Easy Care, Ideal for High Traffic Areas in Living Room, Bedroom (LNH553-4012)",Safavieh,"Safavieh's Lyndhurst collection offers the beauty and painstaking detail of traditional Persian and European styles with the ease of polypropylene. With a symphony of floral, vines and latticework detailing, these beautiful rugs bring warmth and life to any room.","[""Home & Kitchen"",""Home Décor Products"",""Rugs, Pads & Protectors"",""Area Rugs""]",Safavieh,,"I love this rug. It's perfect for the area and it's beautiful. It has a very soft, thick pile. The pattern is pretty.I am so happy with this purchase.",null
"Swingline Stapler, 747 Classic Desktop Stapler, 20 Sheet Capacity, Metal, Steel Gray (74769)",Swingline,"The renowned Swingline 747 Classic all-metal, steel gray stapler is sturdy and dependable. A specialized inner rail delivers jam-resistant, accurate stapling. This classic stapler is intended for desktop use, but is versatile for use in tacking and pinning. It holds a strip of up to 210 staples. A handy low-staple indicator alerts you when it's time for a refill. This stapler secures up to 20 sheets of paper and works best with standard size Swingline S.F. 4 Premium Staples. To tack paper onto a bulletin board, telephone pole, or other vertical surface, simply open it 180 degrees by pressing the release at the bottom of the stapler. The stapler also produces pointed staples for temporary pinning. Reverse the anvil by pushing and rotating the adjustable knob at the bottom of the stapler, and then just press for a staple you can easily remove. Swingline backs this durable, stapler with a 100..","[""Office Products"",""Office & School Supplies"",""Staplers & Punches"",""Manual Staplers"",""Desktop Staplers""]",ACCO Brands,,It’s a classic. Durable,"[""PREMIUM METAL STAPLER – All-metal, steel gray stapler is designed for durability A specially crafted inner rail always delivers jam-resistant, accurate stapling you can count on"",""DESIGNED FOR DESKTOP – Classic stapler is intended for desktop use It holds a full strip of 210 staples A helpful low-staple indicator lets you know when it's time for a refill"",""SECURES 20 SHEETS – This high-performing stapler fastens up to 20 sheets of paper and works best with standard size Swingline SF 4 Premium Staples The staples have standard ¼” length legs"",""TACKING & PINNING – Tack papers to bulletin boards with ease unlatch the stapler and you're ready The stapler can also produce pointed staples for temporary pinning simply reverse the anvil"",""BUILT TO LAST – Swingline stands behind this high-quality stapler with a 100% performance guarantee and a limited lifetime warranty.""]"
"Scott® High-Capacity Jumbo Roll Toilet Paper (07805), 2-Ply, White, Non-perforated, (1,000'/Roll, 12 Rolls/Case, 12,000'/Case)",Scott,"About this item 1,000'/Roll, 12 Scott High-Capacity Jumbo Roll Toilet Paper Rolls/Case; 12,000'/Case; 2-Ply; White; Non-perforated Non-perforated, 2-ply, white jumbo roll toilet paper is efficient for businesses One large roll equals 1,000 feet, or nearly five standard rolls which helps to reduce run-outs and refills Big rolls are compatible with most universal jumbo roll toilet paper dispensers; for use in industrial areas, schools, or offices FSC and ECOLOGO certified; meets or exceeds EPA guidelines for post-consumer waste content (at least 25%); Sewer and Septic Safe","[""Health & Household"",""Household Supplies"",""Tissues, Toilet Paper & Sprays"",""Toilet Paper""]",Kimberly-Clark Professional,Janitorial / Maintenance & Lunchroom Supplies,"This is the only toilet paper our bathrooms take.  It is not charmin, however it works","[""1,000'/Roll, 12 Scott High-Capacity Jumbo Roll Toilet Paper Rolls/Case; 12,000'/Case; 2-Ply; White; Non-perforated"",""Non-perforated, 2-ply, white jumbo roll toilet paper is efficient for businesses"",""One large roll equals 1,000 feet, or nearly five standard rolls which helps to reduce run-outs and refills"",""Big rolls are compatible with most universal jumbo roll toilet paper dispensers; for use in industrial areas, schools, or offices"",""FSC and ECOLOGO certified; meets or exceeds EPA guidelines for post-consumer waste content (at least 25%); Sewer and Septic Safe""]"
